model,match_id,match,scoreline,actual,action,model_p,implied,diff,hit,pnl
M3 NegBin+Frank,26JUN14CIVECU,Ivory Coast vs Ecuador,0-1,1-0,BUY,0.1972,0.1489,0.0483,0.0,-0.1489
M3 NegBin+Frank,26JUN14CIVECU,Ivory Coast vs Ecuador,1-0,1-0,BUY,0.1421,0.1206,0.0215,1.0,0.8794
M3 NegBin+Frank,26JUN14CIVECU,Ivory Coast vs Ecuador,1-1,1-0,BUY,0.1057,0.0851,0.0206,0.0,-0.0851
M3 NegBin+Frank,26JUN14CIVECU,Ivory Coast vs Ecuador,3-2,1-0,SELL,0.0015,0.1773,-0.1758,0.0,0.1773
M4 NegBin+Frank (calib 1X2),26JUN14CIVECU,Ivory Coast vs Ecuador,0-0,1-0,SELL,0.1537,0.227,-0.0733,0.0,0.227
M4 NegBin+Frank (calib 1X2),26JUN14CIVECU,Ivory Coast vs Ecuador,1-1,1-0,BUY,0.1347,0.0851,0.0496,0.0,-0.0851
M4 NegBin+Frank (calib 1X2),26JUN14CIVECU,Ivory Coast vs Ecuador,1-2,1-0,BUY,0.0759,0.0355,0.0405,0.0,-0.0355
M4 NegBin+Frank (calib 1X2),26JUN14CIVECU,Ivory Coast vs Ecuador,1-3,1-0,BUY,0.0281,0.0071,0.0211,0.0,-0.0071
M4 NegBin+Frank (calib 1X2),26JUN14CIVECU,Ivory Coast vs Ecuador,2-0,1-0,BUY,0.0466,0.0213,0.0254,0.0,-0.0213
M4 NegBin+Frank (calib 1X2),26JUN14CIVECU,Ivory Coast vs Ecuador,2-1,1-0,BUY,0.0616,0.0142,0.0474,0.0,-0.0142
M4 NegBin+Frank (calib 1X2),26JUN14CIVECU,Ivory Coast vs Ecuador,2-2,1-0,BUY,0.039,0.0142,0.0249,0.0,-0.0142
M4 NegBin+Frank (calib 1X2),26JUN14CIVECU,Ivory Coast vs Ecuador,3-2,1-0,SELL,0.0126,0.1773,-0.1647,0.0,0.1773
M5 NegBin+Frank (calib 1X2+O/U),26JUN14CIVECU,Ivory Coast vs Ecuador,0-0,1-0,BUY,0.3487,0.227,0.1218,0.0,-0.227
M5 NegBin+Frank (calib 1X2+O/U),26JUN14CIVECU,Ivory Coast vs Ecuador,0-1,1-0,BUY,0.1946,0.1489,0.0456,0.0,-0.1489
M5 NegBin+Frank (calib 1X2+O/U),26JUN14CIVECU,Ivory Coast vs Ecuador,1-0,1-0,BUY,0.1439,0.1206,0.0233,1.0,0.8794
M5 NegBin+Frank (calib 1X2+O/U),26JUN14CIVECU,Ivory Coast vs Ecuador,1-1,1-0,BUY,0.108,0.0851,0.0229,0.0,-0.0851
M5 NegBin+Frank (calib 1X2+O/U),26JUN14CIVECU,Ivory Coast vs Ecuador,3-2,1-0,SELL,0.0017,0.1773,-0.1756,0.0,0.1773
M3 NegBin+Frank,26JUN14SWETUN,Sweden vs Tunisia,0-0,5-1,BUY,0.0442,0.0086,0.0356,0.0,-0.0086
M3 NegBin+Frank,26JUN14SWETUN,Sweden vs Tunisia,0-1,5-1,BUY,0.0402,0.0086,0.0315,0.0,-0.0086
M3 NegBin+Frank,26JUN14SWETUN,Sweden vs Tunisia,1-0,5-1,BUY,0.0883,0.0086,0.0797,0.0,-0.0086
M3 NegBin+Frank,26JUN14SWETUN,Sweden vs Tunisia,1-1,5-1,BUY,0.0885,0.0086,0.0799,0.0,-0.0086
M3 NegBin+Frank,26JUN14SWETUN,Sweden vs Tunisia,1-2,5-1,BUY,0.0449,0.0086,0.0362,0.0,-0.0086
M3 NegBin+Frank,26JUN14SWETUN,Sweden vs Tunisia,2-0,5-1,BUY,0.0851,0.0086,0.0764,0.0,-0.0086
M3 NegBin+Frank,26JUN14SWETUN,Sweden vs Tunisia,2-1,5-1,SELL,0.0976,0.2069,-0.1093,0.0,0.2069
M3 NegBin+Frank,26JUN14SWETUN,Sweden vs Tunisia,2-2,5-1,SELL,0.0551,0.1207,-0.0656,0.0,0.1207
M3 NegBin+Frank,26JUN14SWETUN,Sweden vs Tunisia,2-3,5-1,SELL,0.0208,0.0431,-0.0223,0.0,0.0431
M3 NegBin+Frank,26JUN14SWETUN,Sweden vs Tunisia,3-0,5-1,BUY,0.0553,0.0086,0.0466,0.0,-0.0086
M3 NegBin+Frank,26JUN14SWETUN,Sweden vs Tunisia,3-1,5-1,SELL,0.0712,0.1983,-0.127,0.0,0.1983
M3 NegBin+Frank,26JUN14SWETUN,Sweden vs Tunisia,3-2,5-1,SELL,0.0444,0.1034,-0.059,0.0,0.1034
M3 NegBin+Frank,26JUN14SWETUN,Sweden vs Tunisia,4-1,5-1,SELL,0.039,0.0776,-0.0386,0.0,0.0776
M3 NegBin+Frank,26JUN14SWETUN,Sweden vs Tunisia,4-2,5-1,SELL,0.0261,0.0603,-0.0343,0.0,0.0603
M4 NegBin+Frank (calib 1X2),26JUN14SWETUN,Sweden vs Tunisia,0-0,5-1,BUY,0.1063,0.0086,0.0977,0.0,-0.0086
M4 NegBin+Frank (calib 1X2),26JUN14SWETUN,Sweden vs Tunisia,0-1,5-1,BUY,0.0326,0.0086,0.0239,0.0,-0.0086
M4 NegBin+Frank (calib 1X2),26JUN14SWETUN,Sweden vs Tunisia,1-0,5-1,BUY,0.1942,0.0086,0.1856,0.0,-0.0086
M4 NegBin+Frank (calib 1X2),26JUN14SWETUN,Sweden vs Tunisia,1-1,5-1,BUY,0.0692,0.0086,0.0606,0.0,-0.0086
M4 NegBin+Frank (calib 1X2),26JUN14SWETUN,Sweden vs Tunisia,2-0,5-1,BUY,0.1748,0.0086,0.1662,0.0,-0.0086
M4 NegBin+Frank (calib 1X2),26JUN14SWETUN,Sweden vs Tunisia,2-1,5-1,SELL,0.0755,0.2069,-0.1314,0.0,0.2069
M4 NegBin+Frank (calib 1X2),26JUN14SWETUN,Sweden vs Tunisia,2-2,5-1,SELL,0.0158,0.1207,-0.1049,0.0,0.1207
M4 NegBin+Frank (calib 1X2),26JUN14SWETUN,Sweden vs Tunisia,2-3,5-1,SELL,0.0022,0.0431,-0.0409,0.0,0.0431
M4 NegBin+Frank (calib 1X2),26JUN14SWETUN,Sweden vs Tunisia,3-0,5-1,BUY,0.1062,0.0086,0.0976,0.0,-0.0086
M4 NegBin+Frank (calib 1X2),26JUN14SWETUN,Sweden vs Tunisia,3-1,5-1,SELL,0.0535,0.1983,-0.1447,0.0,0.1983
M4 NegBin+Frank (calib 1X2),26JUN14SWETUN,Sweden vs Tunisia,3-2,5-1,SELL,0.0119,0.1034,-0.0916,0.0,0.1034
M4 NegBin+Frank (calib 1X2),26JUN14SWETUN,Sweden vs Tunisia,3-3,5-1,SELL,0.0017,0.0345,-0.0328,0.0,0.0345
M4 NegBin+Frank (calib 1X2),26JUN14SWETUN,Sweden vs Tunisia,4-0,5-1,BUY,0.0498,0.0086,0.0412,0.0,-0.0086
M4 NegBin+Frank (calib 1X2),26JUN14SWETUN,Sweden vs Tunisia,4-1,5-1,SELL,0.0275,0.0776,-0.0501,0.0,0.0776
M4 NegBin+Frank (calib 1X2),26JUN14SWETUN,Sweden vs Tunisia,4-2,5-1,SELL,0.0063,0.0603,-0.054,0.0,0.0603
M5 NegBin+Frank (calib 1X2+O/U),26JUN14SWETUN,Sweden vs Tunisia,0-0,5-1,BUY,0.0442,0.0086,0.0356,0.0,-0.0086
M5 NegBin+Frank (calib 1X2+O/U),26JUN14SWETUN,Sweden vs Tunisia,0-1,5-1,BUY,0.0402,0.0086,0.0315,0.0,-0.0086
M5 NegBin+Frank (calib 1X2+O/U),26JUN14SWETUN,Sweden vs Tunisia,1-0,5-1,BUY,0.0883,0.0086,0.0797,0.0,-0.0086
M5 NegBin+Frank (calib 1X2+O/U),26JUN14SWETUN,Sweden vs Tunisia,1-1,5-1,BUY,0.0885,0.0086,0.0799,0.0,-0.0086
M5 NegBin+Frank (calib 1X2+O/U),26JUN14SWETUN,Sweden vs Tunisia,1-2,5-1,BUY,0.0449,0.0086,0.0362,0.0,-0.0086
M5 NegBin+Frank (calib 1X2+O/U),26JUN14SWETUN,Sweden vs Tunisia,2-0,5-1,BUY,0.0851,0.0086,0.0764,0.0,-0.0086
M5 NegBin+Frank (calib 1X2+O/U),26JUN14SWETUN,Sweden vs Tunisia,2-1,5-1,SELL,0.0976,0.2069,-0.1093,0.0,0.2069
M5 NegBin+Frank (calib 1X2+O/U),26JUN14SWETUN,Sweden vs Tunisia,2-2,5-1,SELL,0.0551,0.1207,-0.0656,0.0,0.1207
M5 NegBin+Frank (calib 1X2+O/U),26JUN14SWETUN,Sweden vs Tunisia,2-3,5-1,SELL,0.0208,0.0431,-0.0223,0.0,0.0431
M5 NegBin+Frank (calib 1X2+O/U),26JUN14SWETUN,Sweden vs Tunisia,3-0,5-1,BUY,0.0553,0.0086,0.0466,0.0,-0.0086
M5 NegBin+Frank (calib 1X2+O/U),26JUN14SWETUN,Sweden vs Tunisia,3-1,5-1,SELL,0.0712,0.1983,-0.127,0.0,0.1983
M5 NegBin+Frank (calib 1X2+O/U),26JUN14SWETUN,Sweden vs Tunisia,3-2,5-1,SELL,0.0444,0.1034,-0.059,0.0,0.1034
M5 NegBin+Frank (calib 1X2+O/U),26JUN14SWETUN,Sweden vs Tunisia,4-1,5-1,SELL,0.039,0.0776,-0.0386,0.0,0.0776
M5 NegBin+Frank (calib 1X2+O/U),26JUN14SWETUN,Sweden vs Tunisia,4-2,5-1,SELL,0.0261,0.0603,-0.0343,0.0,0.0603
M3 NegBin+Frank,26JUN15ESPCPV,Spain vs Cape Verde,0-0,0-0,SELL,0.0309,0.113,-0.0822,1.0,-0.887
M3 NegBin+Frank,26JUN15ESPCPV,Spain vs Cape Verde,0-1,0-0,SELL,0.0098,0.0348,-0.0249,0.0,0.0348
M3 NegBin+Frank,26JUN15ESPCPV,Spain vs Cape Verde,1-0,0-0,SELL,0.0944,0.2174,-0.123,0.0,0.2174
M3 NegBin+Frank,26JUN15ESPCPV,Spain vs Cape Verde,2-0,0-0,SELL,0.1421,0.1913,-0.0492,0.0,0.1913
M3 NegBin+Frank,26JUN15ESPCPV,Spain vs Cape Verde,3-0,0-0,BUY,0.1415,0.113,0.0284,0.0,-0.113
M3 NegBin+Frank,26JUN15ESPCPV,Spain vs Cape Verde,3-1,0-0,BUY,0.063,0.0261,0.0369,0.0,-0.0261
M3 NegBin+Frank,26JUN15ESPCPV,Spain vs Cape Verde,4-0,0-0,BUY,0.1063,0.0522,0.0541,0.0,-0.0522
M3 NegBin+Frank,26JUN15ESPCPV,Spain vs Cape Verde,4-1,0-0,BUY,0.0543,0.0087,0.0456,0.0,-0.0087
M3 NegBin+Frank,26JUN15ESPCPV,Spain vs Cape Verde,5-0,0-0,BUY,0.065,0.0174,0.0476,0.0,-0.0174
M4 NegBin+Frank (calib 1X2),26JUN15ESPCPV,Spain vs Cape Verde,0-0,0-0,SELL,0.0023,0.113,-0.1108,1.0,-0.887
M4 NegBin+Frank (calib 1X2),26JUN15ESPCPV,Spain vs Cape Verde,0-1,0-0,SELL,0.0018,0.0348,-0.0329,0.0,0.0348
M4 NegBin+Frank (calib 1X2),26JUN15ESPCPV,Spain vs Cape Verde,1-0,0-0,SELL,0.0116,0.2174,-0.2058,0.0,0.2174
M4 NegBin+Frank (calib 1X2),26JUN15ESPCPV,Spain vs Cape Verde,1-1,0-0,SELL,0.0096,0.0435,-0.0339,0.0,0.0435
M4 NegBin+Frank (calib 1X2),26JUN15ESPCPV,Spain vs Cape Verde,2-0,0-0,SELL,0.0296,0.1913,-0.1617,0.0,0.1913
M4 NegBin+Frank (calib 1X2),26JUN15ESPCPV,Spain vs Cape Verde,3-0,0-0,SELL,0.0497,0.113,-0.0633,0.0,0.113
M4 NegBin+Frank (calib 1X2),26JUN15ESPCPV,Spain vs Cape Verde,4-1,0-0,BUY,0.0598,0.0087,0.0511,0.0,-0.0087
M4 NegBin+Frank (calib 1X2),26JUN15ESPCPV,Spain vs Cape Verde,4-2,0-0,BUY,0.0292,0.0087,0.0205,0.0,-0.0087
M4 NegBin+Frank (calib 1X2),26JUN15ESPCPV,Spain vs Cape Verde,5-0,0-0,BUY,0.0606,0.0174,0.0432,0.0,-0.0174
M4 NegBin+Frank (calib 1X2),26JUN15ESPCPV,Spain vs Cape Verde,5-1,0-0,BUY,0.0644,0.0174,0.047,0.0,-0.0174
M4 NegBin+Frank (calib 1X2),26JUN15ESPCPV,Spain vs Cape Verde,5-2,0-0,BUY,0.0337,0.0087,0.025,0.0,-0.0087
M4 NegBin+Frank (calib 1X2),26JUN15ESPCPV,Spain vs Cape Verde,6-0,0-0,BUY,0.0499,0.0174,0.0325,0.0,-0.0174
M4 NegBin+Frank (calib 1X2),26JUN15ESPCPV,Spain vs Cape Verde,6-1,0-0,BUY,0.0577,0.0087,0.049,0.0,-0.0087
M4 NegBin+Frank (calib 1X2),26JUN15ESPCPV,Spain vs Cape Verde,6-2,0-0,BUY,0.0324,0.0087,0.0237,0.0,-0.0087
M4 NegBin+Frank (calib 1X2),26JUN15ESPCPV,Spain vs Cape Verde,7-0,0-0,BUY,0.0358,0.0087,0.0271,0.0,-0.0087
M4 NegBin+Frank (calib 1X2),26JUN15ESPCPV,Spain vs Cape Verde,7-1,0-0,BUY,0.0444,0.0087,0.0357,0.0,-0.0087
M4 NegBin+Frank (calib 1X2),26JUN15ESPCPV,Spain vs Cape Verde,8-1,0-0,BUY,0.03,0.0087,0.0213,0.0,-0.0087
M5 NegBin+Frank (calib 1X2+O/U),26JUN15ESPCPV,Spain vs Cape Verde,0-0,0-0,BUY,0.5663,0.113,0.4532,1.0,0.887
M5 NegBin+Frank (calib 1X2+O/U),26JUN15ESPCPV,Spain vs Cape Verde,0-1,0-0,SELL,0.01,0.0348,-0.0248,0.0,0.0348
M5 NegBin+Frank (calib 1X2+O/U),26JUN15ESPCPV,Spain vs Cape Verde,1-0,0-0,BUY,0.3093,0.2174,0.092,0.0,-0.2174
M5 NegBin+Frank (calib 1X2+O/U),26JUN15ESPCPV,Spain vs Cape Verde,1-1,0-0,SELL,0.0076,0.0435,-0.0359,0.0,0.0435
M5 NegBin+Frank (calib 1X2+O/U),26JUN15ESPCPV,Spain vs Cape Verde,2-0,0-0,SELL,0.0853,0.1913,-0.106,0.0,0.1913
M5 NegBin+Frank (calib 1X2+O/U),26JUN15ESPCPV,Spain vs Cape Verde,2-1,0-0,SELL,0.0024,0.0435,-0.041,0.0,0.0435
M5 NegBin+Frank (calib 1X2+O/U),26JUN15ESPCPV,Spain vs Cape Verde,3-0,0-0,SELL,0.0158,0.113,-0.0972,0.0,0.113
M5 NegBin+Frank (calib 1X2+O/U),26JUN15ESPCPV,Spain vs Cape Verde,3-1,0-0,SELL,0.0005,0.0261,-0.0256,0.0,0.0261
M5 NegBin+Frank (calib 1X2+O/U),26JUN15ESPCPV,Spain vs Cape Verde,4-0,0-0,SELL,0.0022,0.0522,-0.05,0.0,0.0522
M3 NegBin+Frank,26JUN15BELEGY,Belgium vs Egypt,0-0,1-1,BUY,0.1473,0.0083,0.1389,0.0,-0.0083
M3 NegBin+Frank,26JUN15BELEGY,Belgium vs Egypt,0-1,1-1,SELL,0.0764,0.1667,-0.0902,0.0,0.1667
M3 NegBin+Frank,26JUN15BELEGY,Belgium vs Egypt,0-2,1-1,SELL,0.0222,0.0833,-0.0612,0.0,0.0833
M3 NegBin+Frank,26JUN15BELEGY,Belgium vs Egypt,0-3,1-1,SELL,0.0047,0.025,-0.0203,0.0,0.025
M3 NegBin+Frank,26JUN15BELEGY,Belgium vs Egypt,1-0,1-1,BUY,0.1832,0.0083,0.1749,0.0,-0.0083
M3 NegBin+Frank,26JUN15BELEGY,Belgium vs Egypt,1-1,1-1,SELL,0.1157,0.2167,-0.1009,1.0,-0.7833
M3 NegBin+Frank,26JUN15BELEGY,Belgium vs Egypt,1-2,1-1,SELL,0.0369,0.0917,-0.0548,0.0,0.0917
M3 NegBin+Frank,26JUN15BELEGY,Belgium vs Egypt,2-0,1-1,BUY,0.1136,0.0083,0.1053,0.0,-0.0083
M3 NegBin+Frank,26JUN15BELEGY,Belgium vs Egypt,2-1,1-1,SELL,0.0865,0.1167,-0.0301,0.0,0.1167
M3 NegBin+Frank,26JUN15BELEGY,Belgium vs Egypt,2-2,1-1,SELL,0.0305,0.0583,-0.0278,0.0,0.0583
M3 NegBin+Frank,26JUN15BELEGY,Belgium vs Egypt,3-0,1-1,BUY,0.0491,0.0167,0.0324,0.0,-0.0167
M4 NegBin+Frank (calib 1X2),26JUN15BELEGY,Belgium vs Egypt,0-0,1-1,BUY,0.0725,0.0083,0.0642,0.0,-0.0083
M4 NegBin+Frank (calib 1X2),26JUN15BELEGY,Belgium vs Egypt,0-1,1-1,SELL,0.0507,0.1667,-0.1159,0.0,0.1667
M4 NegBin+Frank (calib 1X2),26JUN15BELEGY,Belgium vs Egypt,0-2,1-1,SELL,0.0192,0.0833,-0.0642,0.0,0.0833
M4 NegBin+Frank (calib 1X2),26JUN15BELEGY,Belgium vs Egypt,1-0,1-1,BUY,0.1257,0.0083,0.1174,0.0,-0.0083
M4 NegBin+Frank (calib 1X2),26JUN15BELEGY,Belgium vs Egypt,1-1,1-1,SELL,0.1003,0.2167,-0.1164,1.0,-0.7833
M4 NegBin+Frank (calib 1X2),26JUN15BELEGY,Belgium vs Egypt,1-2,1-1,SELL,0.041,0.0917,-0.0507,0.0,0.0917
M4 NegBin+Frank (calib 1X2),26JUN15BELEGY,Belgium vs Egypt,2-0,1-1,BUY,0.1061,0.0083,0.0978,0.0,-0.0083
M4 NegBin+Frank (calib 1X2),26JUN15BELEGY,Belgium vs Egypt,3-0,1-1,BUY,0.0611,0.0167,0.0444,0.0,-0.0167
M4 NegBin+Frank (calib 1X2),26JUN15BELEGY,Belgium vs Egypt,3-1,1-1,BUY,0.0649,0.0417,0.0232,0.0,-0.0417
M4 NegBin+Frank (calib 1X2),26JUN15BELEGY,Belgium vs Egypt,4-1,1-1,BUY,0.0315,0.0083,0.0232,0.0,-0.0083
M5 NegBin+Frank (calib 1X2+O/U),26JUN15BELEGY,Belgium vs Egypt,0-0,1-1,BUY,0.1575,0.0083,0.1492,0.0,-0.0083
M5 NegBin+Frank (calib 1X2+O/U),26JUN15BELEGY,Belgium vs Egypt,0-1,1-1,SELL,0.0617,0.1667,-0.105,0.0,0.1667
M5 NegBin+Frank (calib 1X2+O/U),26JUN15BELEGY,Belgium vs Egypt,0-2,1-1,SELL,0.0141,0.0833,-0.0693,0.0,0.0833
M5 NegBin+Frank (calib 1X2+O/U),26JUN15BELEGY,Belgium vs Egypt,0-3,1-1,SELL,0.0024,0.025,-0.0226,0.0,0.025
M5 NegBin+Frank (calib 1X2+O/U),26JUN15BELEGY,Belgium vs Egypt,1-0,1-1,BUY,0.2095,0.0083,0.2012,0.0,-0.0083
M5 NegBin+Frank (calib 1X2+O/U),26JUN15BELEGY,Belgium vs Egypt,1-1,1-1,SELL,0.1001,0.2167,-0.1165,1.0,-0.7833
M5 NegBin+Frank (calib 1X2+O/U),26JUN15BELEGY,Belgium vs Egypt,1-2,1-1,SELL,0.0246,0.0917,-0.067,0.0,0.0917
