series,event_ticker,match,kickoff_utc,snapshot_utc,market_ticker,outcome,price_2h_before,implied_prob,decimal_odds,yes_bid,yes_ask,result,market_status,volume_at_snapshot
KXWCGAME,KXWCGAME-26JUN22FRAIRQ,France vs Iraq,2026-06-23T00:00:00+00:00,2026-06-22T22:00:00+00:00,KXWCGAME-26JUN22FRAIRQ-FRA,France,0.96,0.96,1.042,0.95,0.96,yes,finalized,3161622.62
KXWCGAME,KXWCGAME-26JUN22FRAIRQ,France vs Iraq,2026-06-23T00:00:00+00:00,2026-06-22T22:00:00+00:00,KXWCGAME-26JUN22FRAIRQ-IRQ,Iraq,0.01,0.01,100.0,0.0,0.01,no,finalized,5972411.23
KXWCGAME,KXWCGAME-26JUN22FRAIRQ,France vs Iraq,2026-06-23T00:00:00+00:00,2026-06-22T22:00:00+00:00,KXWCGAME-26JUN22FRAIRQ-TIE,Tie,0.04,0.04,25.0,0.03,0.04,no,finalized,5759454.41
KXWCGAME,KXWCGAME-26JUN22ARGAUT,Argentina vs Austria,2026-06-22T18:53:34.280000+00:00,2026-06-22T16:53:34+00:00,KXWCGAME-26JUN22ARGAUT-ARG,Argentina,0.69,0.69,1.449,0.68,0.69,yes,finalized,2107163.59
KXWCGAME,KXWCGAME-26JUN22ARGAUT,Argentina vs Austria,2026-06-22T18:53:34.280000+00:00,2026-06-22T16:53:34+00:00,KXWCGAME-26JUN22ARGAUT-AUT,Austria,0.12,0.12,8.333,0.11,0.12,no,finalized,224179.54
KXWCGAME,KXWCGAME-26JUN22ARGAUT,Argentina vs Austria,2026-06-22T18:53:34.280000+00:00,2026-06-22T16:53:34+00:00,KXWCGAME-26JUN22ARGAUT-TIE,Tie,0.21,0.21,4.762,0.2,0.21,no,finalized,188553.21
KXWCGAME,KXWCGAME-26JUN21NZLEGY,New Zealand vs Egypt,2026-06-22T02:52:11.574000+00:00,2026-06-22T00:52:11+00:00,KXWCGAME-26JUN21NZLEGY-NZL,New Zealand,0.17,0.17,5.882,0.16,0.17,no,finalized,548335.33
KXWCGAME,KXWCGAME-26JUN21NZLEGY,New Zealand vs Egypt,2026-06-22T02:52:11.574000+00:00,2026-06-22T00:52:11+00:00,KXWCGAME-26JUN21NZLEGY-EGY,Egypt,0.62,0.62,1.613,0.61,0.62,yes,finalized,596193.17
KXWCGAME,KXWCGAME-26JUN21NZLEGY,New Zealand vs Egypt,2026-06-22T02:52:11.574000+00:00,2026-06-22T00:52:11+00:00,KXWCGAME-26JUN21NZLEGY-TIE,Tie,0.24,0.24,4.167,0.23,0.24,no,finalized,150278.49
KXWCGAME,KXWCGAME-26JUN21ESPKSA,Spain vs Saudi Arabia,2026-06-21T17:51:51.120000+00:00,2026-06-21T15:51:51+00:00,KXWCGAME-26JUN21ESPKSA-ESP,Spain,0.89,0.89,1.124,0.88,0.89,yes,finalized,537651.98
